form	lemma	POS	morph
༄༅། །		PUNCT
སེམས་	སེམས་	NOUN
ངོ་	གོ་	PART
འཇོག་	འཇོག་	VERB
ཐབས་	ཐབས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
རིག་པ་	རིག་པ་	VERB
ཁ་	ཁ་	PRON
ཡན་	ཡན་	ADV
ཐོང་	ཐོང་	VERB
། །		PUNCT
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
སྣང་	སྣང་	VERB
ལ་མ་	ལ་མ་	NO_POS
ཞེན་པ་	ཞེན་པ་	VERB
ར་	ལ་	PART
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ནང་	ནང་	NOUN
མེད་པ་	མེད་པ་	VERB
ཟང་ཐལ་	ཟང་ཐལ་	OTHER
ལེ་	ལེ་	NO_POS
། །		PUNCT
དགའ་	དགའ་	VERB
སྡུག་	སྡུག་	VERB
གྲོལ་བ་	གྲོལ་བ་	VERB
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
"།
།"		PUNCT
ཡེངས་བ་	ཡེངས་བ་	NO_POS
ཡོད་	ཡོད་	VERB
ན་	ལ་	PART
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཆ་	ཆ་	NOUN
། །		PUNCT
དགའ་	དགའ་	VERB
སྡུག་	སྡུག་	VERB
ཡོད་	ཡོད་	VERB
ན་	ལ་	PART
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཆ་	ཆ་	NOUN
། །		PUNCT
རེ་དོགས་	རེ་དོགས་	NOUN
ཡོད་	ཡོད་	VERB
ན་	ལ་	PART
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཆ་	ཆ་	NOUN
། །		PUNCT
བཟང་ངན་	བཟང་ངན་	ADJ
སྣང་	སྣང་	VERB
ན་	ལ་	PART
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཆ་	ཆ་	NOUN
"།
།"		PUNCT
གཙང་བཙོག་	གཙང་བཙོག་	NO_POS
སྣང་	སྣང་	VERB
ན་	ལ་	PART
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཆ་	ཆ་	NOUN
། །		PUNCT
དེ་དུས་	དེ་དུས་	PRON
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
ཁྱད་	ཁྱད་	NOUN
མ་	མ་	PART
གསོད་	གསོད་	NO_POS
། །		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ཞིབ་	ཞིབ་	NO_POS
ཞིབ་	ཞིབ་	NO_POS
དམན་	དམན་	VERB
ས་	ས་	ADP
བཟུང་	བཟུང་	NO_POS
"།
།"		PUNCT
ཐོ་ཅོ་	ཐོ་ཅོ་	NO_POS
འི་	གི་	PART
རྩིང་སྤྱོད་	རྩིང་སྤྱོད་	NO_POS
མི་	མི་	PART
མཛད་པ་	མཛད་པ་	VERB
ར་	ལ་	PART
། །		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
མི་	མི་	PART
དང་	དང་	NO_POS
བསྟུན་	བསྟུན་	NO_POS
ན་	ནས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
དགའ་	དགའ་	VERB
སྡུག་	སྡུག་	VERB
ནང་	ནང་	NOUN
ན་	ནས་	PART
སྦྱངས་	སྦྱངས་	VERB
ལ་	ལ་	PART
ཤོག་	ཤོག་	VERB
།		PUNCT
ལམ་	གམ་	PART
གྱི་	གི་	PART
ས་	ས་	ADP
ཚོད་	ཚོད་	NOUN
རང་	རང་	PRON
ལ་	ལ་	PART
དྲི་	དྲི་	VERB
། །		PUNCT
ན་ཚ་	ན་ཚ་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཨེ་	ཨེ་	PART
བཟོད་	བཟོད་	VERB
ལྟོ་	ལྟོ་	VERB
། །		PUNCT
བརྙས་བཅོས་	བརྙས་བཅོས་	NO_POS
ཁྱད་གསོད་	ཁྱད་གསོད་	NO_POS
ཨེ་	ཨེ་	PART
བཟོད་	བཟོད་	VERB
ལྟོ་	ལྟོ་	VERB
། །		PUNCT
མ་	མ་	PART
བཟོད་	བཟོད་	VERB
ཕལ་པ་	ཕལ་པ་	NOUN
དང་	དང་	NO_POS
མཚུངས་	མཚུངས་	VERB
ན་	ལ་	PART
"།
།"		PUNCT
ད་དུང་	ད་དུང་	ADV
ལམ་	གམ་	PART
རྩལ་	རྩལ་	NOUN
མ་	མ་	PART
རྫོགས་	རྫོགས་	VERB
རྟགས་	རྟགས་	NOUN
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
ཐོབ་	ཐོབ་	VERB
། །		PUNCT
དབང་	དབང་	NOUN
བཞི་	བཞི་	NUM
བླངས་	བླངས་	VERB
ལ་	ལ་	PART
ཐུགས་	ཐུགས་	NOUN
ཡིད་	ཡིད་	NOUN
བསྲེ་	བསྲེ་	NO_POS
། །		PUNCT
འཛིན་	འཛིན་	VERB
མེད་	མེད་	VERB
ངང་	ངང་	NOUN
དུ་	ལ་	PART
ལྷོད་	ལྷོད་	NO_POS
དེ་	སྟེ་	PART
ཀློད་		NON_WORD
། །		PUNCT
རྩོལ་	རྩོལ་	NO_POS
མེད་	མེད་	VERB
ངང་	ངང་	NOUN
དུ་	ལ་	PART
ཤིག་	ཅིག་	PART
གེ་	གེ་	NO_POS
ཞོག་	ཞོག་	VERB
།		PUNCT
སྐབས་	སྐབས་	NOUN
སུ་	ལ་	PART
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
བསླུ་མེད་	བསླུ་མེད་	NO_POS
བསམ་	བསམ་	NOUN
། །		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
བདག་	བདག་	PRON
ལ་	ལ་	PART
ལོངས་	ལོངས་	VERB
། །		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
བདེ་	བདེ་	VERB
དགེ་	དགེ་	NOUN
གཞན་	གཞན་	DET
ལ་	ལ་	PART
བྱིན་	བྱིན་	VERB
"།
།"		PUNCT
བདེ་སྡུག་	བདེ་སྡུག་	OTHER
གཏོང་ལེན་	གཏོང་ལེན་	OTHER
དམིགས་པ་	དམིགས་པ་	VERB
གྱིས་	གིས་	PART
། །		PUNCT
ངན་པ་	ངན་པ་	VERB
མ་	མ་	PART
སྤངས་	སྤངས་	VERB
གང་	གང་	NO_POS
དག་	དགའ་	VERB
ར་	ལ་	PART
ཀློད་		NON_WORD
། །		PUNCT
བཟང་པོ་	བཟང་པོ་	ADJ
མ་	མ་	PART
རྩོལ་	རྩོལ་	NO_POS
གང་	གང་	NO_POS
དག་	དགའ་	VERB
ར་	ལ་	PART
ཀློད་		NON_WORD
། །		PUNCT
བཟང་ངན་	བཟང་ངན་	ADJ
རེ་	རེ་	DET
དྭོགས་		NON_WORD
མེད་པ་	མེད་པ་	VERB
རུ་	ལ་	PART
"།
།"		PUNCT
སུ་	ལ་	PART
དང་	དང་	NO_POS
འགྲོགས་	འགྲོགས་	NO_POS
ཀྱང་	ཀྱང་	PART
བདེ་	བདེ་	VERB
བདེ་	བདེ་	VERB
འདྲ་	འདྲ་	VERB
། །		PUNCT
གང་	གང་	NO_POS
དུ་	ལ་	PART
བསྡད་	བསྡད་	NO_POS
ཀྱང་	ཀྱང་	PART
བདེ་	བདེ་	VERB
བདེ་	བདེ་	VERB
འདྲ་	འདྲ་	VERB
། །		PUNCT
ཅི་	ཅི་	NO_POS
ལྟ་	ལྟ་	OTHER
བྱ་	བྱ་	VERB
ཀྱང་	ཀྱང་	PART
བདེ་	བདེ་	VERB
བདེ་	བདེ་	VERB
འདྲ་	འདྲ་	VERB
"།
།"		PUNCT
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
ཇེ་	ཇེ་	OTHER
ཞིབ་	ཞིབ་	NO_POS
སོང་	སོང་	VERB
ན་	ནས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
རང་དོན་	རང་དོན་	NOUN
བདག་	བདག་	PRON
འཛིན་	འཛིན་	VERB
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
ར་	ལ་	PART
སོང་	སོང་	VERB
། །		PUNCT
དགའ་	དགའ་	VERB
སྡུག་ཆགས་	སྡུག་ཆགས་	NO_POS
སྡང་	སྡང་	NO_POS
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
ར་	ལ་	PART
སོང་	སོང་	VERB
། །		PUNCT
ཤི་བ་	ཤི་བ་	VERB
འི་	གི་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
མི་	མི་	PART
དགོས་	དགོས་	VERB
ཚེ་	ཚེ་	NOUN
"།
།"		PUNCT
ཉམས་རྩལ་	ཉམས་རྩལ་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
རྟགས་	རྟགས་	NOUN
། །		PUNCT
མདོར་ན་	མདོར་ན་	NO_POS
དུས་	དུས་	NOUN
རྣམས་	རྣམས་	DET
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
མ་	མ་	PART
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
རང་བབ་	རང་བབ་	NO_POS
ཀློད་		NON_WORD
ཤེ་	ཤེ་	VERB
ན་	ལ་	PART
། །		PUNCT
དབྱིངས་	དབྱིངས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སུ་	ལ་	PART
ཡང་	ཀྱང་	PART
གཡོ་	གཡོ་	VERB
མ་	མ་	PART
མྱོང་	མྱོང་	VERB
། །		PUNCT
དེ་སྐད་	དེ་སྐད་	NO_POS
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
དབང་པོ་	དབང་པོ་	NOUN
ཡི་	གི་	PART
། །		PUNCT
སྨྱོན་	སྨྱོན་	NO_POS
ཚིག་	ཚིག་	NOUN
ཐོལ་	ཐོལ་	ADV
བྱུང་སོང་བ་	བྱུང་སོང་བ་	OTHER
དེ་	སྟེ་	PART
། །		PUNCT
ཁྱེད་	ཁྱེད་	PRON
ཀྱང་	ཀྱང་	PART
ང་	ང་	PRON
དང་	དང་	NO_POS
གཉིས་	གཉིས་	NUM
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
ཡོངས་	ཡོངས་	DET
ལ་	ལ་	PART
ཕན་	ཕན་	NOUN
ཐོགས་	ཐོགས་	VERB
ཤོག་	ཤོག་	VERB
"།
།།"		PUNCT
